Month,Sale ID,Order name,Product title at time of sale,Gross sales,Discounts,Returns,Net sales,Shipping charges,Return fees,Taxes,Total sales
01/01/2025,19309978450000,#21533,One of Us is Lying,23,0,0,23,0,0,1.15,24.15
01/01/2025,19253290400000,#21219,منظف الجرائم,16,-0.76,0,15.24,0,0,0.76,16
01/01/2025,19253290140000,#21219,آرثر وجورج - Hardcover,28.01,-1.33,0,26.68,0,0,1.32,28
01/01/2025,19290476310000,#21444,Picture Encyclopedia - Hardcover,13,0,0,13,0,0,0.65,13.65
01/01/2025,19316267160000,#21572,ممارسة قوة الان,20,0,0,20,0,0,1,21
01/01/2025,19262762750000,#21281,Archie Doble Digest #22,10,0,0,10,0,0,0.5,10.5
01/01/2025,19284361380000,#21405,Six Sigma For Managers,25,0,0,25,0,0,1.25,26.25
01/01/2025,19295827920000,#21450,The Stranger in the Lifeboat,27.99,-1.28,0,26.71,0,0,1.34,28.05
01/01/2025,19253290340000,#21219,تارتاروس,17.99,-0.85,0,17.14,0,0,0.86,18
01/01/2025,19257168890000,#21251,The Fifth Witness,15,0,0,15,0,0,0.75,15.75
01/01/2025,19241712550000,#21165,Tip,0,0,0,0,0,0,0,0
01/01/2025,19290866120000,#21447,أهم 6 قرارات يتخذها المراهق,28,0,0,28,0,0,1.4,29.4
01/01/2025,19302338330000,#21479,His Temporary Mistress,10,0,0,10,0,0,0.5,10.5
01/01/2025,19322856080000,#21634,The 48 Laws of Power,20,0,0,20,0,0,1,21
01/01/2025,19299549150000,#21470,The Big Stink,17.99,-0.88,0,17.11,0,0,0.86,17.97
01/01/2025,19296169460000,#21453,The Last Mile,20,0,0,20,0,0,1,21
01/01/2025,19258710880000,#21256,Aim for the Heart - Hardcover,13,0,0,13,0,0,0.65,13.65
01/01/2025,19302338230000,#21479,Santiago's Command,13,0,0,13,0,0,0.65,13.65
01/01/2025,19256452510000,#21242,Bloodlines,19.99,-1.84,0,18.15,0,0,0.91,19.06
01/01/2025,19273031650000,#21357,Fossils,11.01,-0.94,0,10.07,0,0,0.49,10.56
01/01/2025,19258711410000,#21256,هل انت غبي عاطفياً,18,0,0,18,0,0,0.9,18.9
01/01/2025,19290866390000,#21447,دفتر تمارين صغير لتبقى هادئاً في عالم مضطرب,13,0,0,13,0,0,0.65,13.65
01/01/2025,19303987450000,#21482,Le XIXe siècle #28,18,0,0,18,0,0,0.9,18.9
01/01/2025,19253290300000,#21219,مدينه لا تنام,17.99,-0.85,0,17.14,0,0,0.86,18
01/01/2025,19281848800000,#21399,Demon Dentist,20,-1.49,0,18.51,0,0,0.92,19.43
01/01/2025,19273255350000,#21366,Rita Hayworth and Shawshank Redemption,15,0,0,15,0,0,0.75,15.75
01/01/2025,19307183340000,#21507,The Big Old Rambutan Tree,20,0,0,20,0,0,1,21
01/01/2025,19255919350000,#21233,Archie Giant Comics Party,15,0,0,15,0,0,0.75,15.75
01/01/2025,19299527820000,#21469,Percy Jackson and the Sea of Monsters,20,0,0,20,0,0,1,21
01/01/2025,19255463350000,#21228,قانون الجذب,20,0,0,20,0,0,1,21
01/01/2025,19304003730000,#21484,Celebrate Your Feelings,13,0,0,13,0,0,0.65,13.65
01/01/2025,19239772130000,#21155,بين السماء والارض,26.25,0,0,26.25,0,0,0,26.25
01/01/2025,19252732130000,#21029,"Hush, Hush",0,0,-25,-25,0,0,-1.25,-26.25
01/01/2025,19322637420000,#21632,"Good Girl, Bad Blood",20,0,0,20,0,0,1,21
01/01/2025,19309778500000,#21526,Run Time,24.99,-1.08,0,23.91,0,0,1.2,25.11
01/01/2025,19253660610000,#21224,The Archer,33,0,0,33,0,0,1.65,34.65
01/01/2025,19296452580000,#21456,The Girl From World's End,6,0,0,6,0,0,0.3,6.3
01/01/2025,19284848840000,#21410,The Fine Print Special Edition,29.4,-29.4,0,0,0,0,0,0
01/01/2025,19287735830000,#21425,Fantastic Mr Fox,15,0,0,15,0,0,0.75,15.75
01/01/2025,19267365080000,#21324,England Vol. 3- Hardcover,18,0,0,18,0,0,0.9,18.9
01/01/2025,19287736160000,#21425,عايزة أتجوز,18,0,0,18,0,0,0.9,18.9
01/01/2025,19236391680000,#21129,War and Peace,15,0,0,15,0,0,0.75,15.75
01/01/2025,19313259280000,#21544,A to Z Mysteries: The Jaguar's Jewel,9.99,-0.84,0,9.15,0,0,0.46,9.61
01/01/2025,19316048920000,#21571,If You Could See Me Now,23,0,0,23,0,0,1.15,24.15
01/01/2025,19302337970000,#21479,The Cost of the Forbidden,10,0,0,10,0,0,0.5,10.5
01/01/2025,19301562450000,#21477,..دبدوب يفكر وحده ب,13,0,0,13,0,0,0.65,13.65
01/01/2025,19244487770000,#21174,I Think of You,23,0,0,23,0,0,1.15,24.15
01/01/2025,19284847660000,#21386,The Mars Room,0,0,-23,-23,0,0,-1.15,-24.15
01/01/2025,19258711250000,#21256,Turn Your Passion Into Profit,30,0,0,30,0,0,1.5,31.5
01/01/2025,19259897910000,#21268,Godsgrave,28,0,0,28,0,0,1.4,29.4
01/01/2025,19307345180000,#21511,الوحش الذي يسكنك يمكن أن يكون لطيفًا,19.99,-1.68,0,18.31,0,0,0.92,19.23
01/01/2025,19324974370000,#21651,Merry Adventures of Robin Hood (Great Illustrated Classics) (Hardcover),10,0,0,10,0,0,0.5,10.5
01/01/2025,19240889220000,#21159,Train Your Brain: Puzzle Book,15,0,0,15,0,0,0.75,15.75
01/01/2025,19278820110000,#21385,Тайна - Hardcover,33,0,0,33,0,0,1.65,34.65
01/01/2025,19321918880000,#21620,Avant La Télé,15,0,0,15,0,0,0.75,15.75
01/01/2025,19316522620000,#21578,جمرة,20,0,0,20,0,0,1,21
01/01/2025,19258710690000,#21256,النظرات ج1,20,0,0,20,0,0,1,21
01/01/2025,19276198120000,#21376,The Distance Between Us,18,-1.17,0,16.83,0,0,0.84,17.67
01/01/2025,19319228660000,#21599,The Girl Who Kicked the Hornet's Nest,15,0,0,15,0,0,0.75,15.75
01/01/2025,19258712650000,#21256,No Such Thing As Normal,25,0,0,25,0,0,1.25,26.25
01/01/2025,19313348310000,#21547,Ikigai- Hardcover,33,0,0,33,0,0,1.65,34.65
01/01/2025,19276036770000,#21373,Collected Poems 1909-1962,15,0,0,15,0,0,0.75,15.75
01/01/2025,19273767290000,#21368,Dreams,15,0,0,15,0,0,0.75,15.75
01/01/2025,19284847620000,#21386,Pines,0,0,-23,-23,0,0,-1.15,-24.15
01/01/2025,19317356890000,#21588,The Chance,20.99,-1.23,0,19.76,0,0,0.99,20.75
01/01/2025,19258797260000,#21257,The Help,120,0,0,120,0,0,6,126
01/01/2025,19313270260000,#21545,الأب الغني و الأب الفقير,20,0,0,20,0,0,1,21
01/01/2025,19324743580000,#21643,Humans of New York - Hardcover,27.99,-2.63,0,25.36,0,0,1.27,26.63
01/01/2025,19324382050000,#21637,The Adventures of TinTin Vol 7 Compact Edition - Hardcover,34.99,-1.04,0,33.95,0,0,1.7,35.65
01/01/2025,19273095180000,#21358,Love in the Time of Cholera,18,0,0,18,0,0,0.9,18.9
01/01/2025,19250451940000,#21213,Building Up the Personality 1: Please,10.01,-0.39,0,9.62,0,0,0.47,10.09
01/01/2025,19299548990000,#21470,The Gobble Gobble Moooooo Tractor Book,15,-0.74,0,14.26,0,0,0.71,14.97
01/01/2025,19272497590000,#21351,The World's Worst Children 2,27.99,-2.68,0,25.31,0,0,1.27,26.58
01/01/2025,19299549050000,#21470,Farm 123,15,-0.74,0,14.26,0,0,0.71,14.97
01/01/2025,19240610820000,#21158,"Star Wars, the Clone Wars Character Encyclopedia - Hardcover",25,-2.14,0,22.86,0,0,1.14,24
01/01/2025,19253658940000,#21223,The Miraculous Journey of Edward Tulane,18,0,0,18,0,0,0.9,18.9
01/01/2025,19255427730000,#21227,Inkheart,9.99,-0.24,0,9.75,0,0,0.49,10.24
01/01/2025,19307322340000,#21092,It's Called a Breakup Because It's Broken,0,0,-15,-15,0,0,-0.75,-15.75
01/01/2025,19284878360000,#21411,Marvel Avengers Battle Against Ultron,15,0,0,15,0,0,0.75,15.75
01/01/2025,19261583950000,#21270,Jamais deux sans toi,25,0,0,25,0,0,1.25,26.25
01/01/2025,19258713150000,#21256,The Hitchhiker's Guide to the Galaxy,23,0,0,23,0,0,1.15,24.15
01/01/2025,19290533950000,#21445,The French Château - Hardcover,28,0,0,28,0,0,1.4,29.4
01/01/2025,19324909260000,#21650,The Husband's Secret,23,0,0,23,0,0,1.15,24.15
01/01/2025,19244644040000,#21179,The Gormenghast Trilogy,20,0,0,20,0,0,1,21
01/01/2025,19295827850000,#21450,The First Phone Call from Heaven,25,-1.16,0,23.84,0,0,1.19,25.03
01/01/2025,19282176310000,#21401,A Very Merry Christmas,20,0,0,20,0,0,1,21
01/01/2025,19267563090000,#21327,Katie the Kitten Fairy,10,0,0,10,0,0,0.5,10.5
01/01/2025,19242759820000,#21170,يوميات مشاغبة,20,0,0,20,0,0,1,21
01/01/2025,19287877910000,#21427,Goosebumps Most Wanted: Trick or Trap,15,0,0,15,0,0,0.75,15.75
01/01/2025,19308040090000,#21521,Ikigai- Hardcover,33,0,0,33,0,0,1.65,34.65
01/01/2025,19287877780000,#21427,Animals,10,0,0,10,0,0,0.5,10.5
01/01/2025,19308042290000,#21522,"Men are from Mars, Women are from Venus",23,0,0,23,0,0,1.15,24.15
01/01/2025,19304003700000,#21484,Boy and Going Solo,20,0,0,20,0,0,1,21
01/01/2025,19319050900000,#21594,Frankenstein,18,0,0,18,0,0,0.9,18.9
01/01/2025,19278820050000,#21385,All the Beauty in the World - Hardcover,28,0,0,28,0,0,1.4,29.4
01/01/2025,19318864150000,#21591,Ol̲ukkil orila,15,0,0,15,0,0,0.75,15.75
01/01/2025,19261654010000,#21272,The Power of Habit,36,-3.36,0,32.64,0,0,1.63,34.27
01/01/2025,19302338100000,#21479,A Night with Consequences,13,0,0,13,0,0,0.65,13.65
01/01/2025,19307537140000,#21516,The Widow,25,0,0,25,0,0,1.25,26.25
01/01/2025,19241471930000,#21163,The Education of a British-protected Child,25,0,0,25,0,0,1.25,26.25
01/01/2025,19281706320000,#21395,Handmade Leather Notebook ( Designs A),40,0,0,40,0,0,2,42
01/01/2025,19261694710000,#21274,Dog Man: Unleashed  - Hardcover,25,0,0,25,0,0,1.25,26.25
01/01/2025,19256847630000,#21248,The Testament,18,0,0,18,0,0,0.9,18.9
01/01/2025,19267869310000,#21328,Sheltering Rain,20,0,0,20,0,0,1,21
01/01/2025,19236345580000,#21127,The 5 AM Club,28,0,0,28,0,0,1.4,29.4
01/01/2025,19272635190000,#21352,The Phoenix Project,28,0,0,28,0,0,1.4,29.4
01/01/2025,19256847660000,#21248,The Broker,20,0,0,20,0,0,1,21
01/01/2025,19318417880000,#21590,Tip,0,0,0,0,0,0,0,0
01/01/2025,19298741090000,#21460,Tip,0,0,0,0,0,0,0,0
01/01/2025,19307423270000,#21514,On Suicide,20,0,0,20,0,0,1,21
01/01/2025,19268542630000,#21332,The Astonishing Color of After,25,0,0,25,0,0,1.25,26.25
01/01/2025,19307731980000,#21519,Butterfly Bookmark,13,0,0,13,0,0,0.65,13.65
01/01/2025,19255427920000,#21227,مبادئ ميكانيكا الكم,25,-0.6,0,24.4,0,0,1.22,25.62
01/01/2025,19265192300000,#21285,An American Marriage,0,0,-33,-33,0,0,-1.65,-34.65
01/01/2025,19247639660000,#21201,Голос Бабаджи - Hardcover,23,0,0,23,0,0,1.15,24.15
01/01/2025,19258777440000,#21258,5-Minute Avengers Stories - Hardcover,25,0,0,25,0,0,1.25,26.25
01/01/2025,19240610790000,#21158,The Flood and the Ark- Hardcover,13,-1.11,0,11.89,0,0,0.59,12.48
01/01/2025,19294356280000,#21449,Sales Success (Hardcover),20,-1.77,0,18.23,0,0,0.91,19.14
01/01/2025,19267290600000,#21320,Heidi,13,0,0,13,0,0,0.65,13.65
01/01/2025,19281814420000,#21398,My First Piano Book,18,0,0,18,0,0,0.9,18.9
01/01/2025,19238457540000,#21146,Don't Wake the Dinosaur!,18,0,0,18,0,0,0.9,18.9
01/01/2025,19252733120000,#21030,Silence,0,0,-23,-23,0,0,-1.15,-24.15
01/01/2025,19272763310000,#21353,You Can Be Thin,28,0,0,28,0,0,1.4,29.4
01/01/2025,19266898760000,#21313,Twisted Lies - Twisted #4 :,28,0,0,28,0,0,1.4,29.4
01/01/2025,19310080560000,#21535,Grasshopper on the Road,13,0,0,13,0,0,0.65,13.65
01/01/2025,19316581270000,#21580,Five things i love about being a women,0,0,-30,-30,0,0,-1.5,-31.5
01/01/2025,19307329650000,#20706,The Miracle Morning,0,0,-23,-23,0,0,-1.15,-24.15
01/01/2025,19256818890000,#21247,How to Catch a Star,25,0,0,25,0,0,1.25,26.25
01/01/2025,19309881980000,#21529,The Lightning Thief (Percy Jackson and the Olympians #1),24.99,-0.8,0,24.19,0,0,1.21,25.4
01/01/2025,19302338070000,#21479,The Final Seduction,10,0,0,10,0,0,0.5,10.5
01/01/2025,19307418160000,#21513,The Hidden Messages in Water,15,0,0,15,0,0,0.75,15.75
01/01/2025,19317357180000,#21588,Nothing but Trouble (PJ Sugar Series #1),14.99,-0.87,0,14.12,0,0,0.71,14.83
01/01/2025,19244644300000,#21179,The Slippery Slope- Hardcover,23,0,0,23,0,0,1.15,24.15
01/01/2025,19236425200000,#21130,Sea of Monsters  (Percy Jackson and the Olympians #2),20,-0.95,0,19.05,0,0,0.95,20
01/01/2025,19258711670000,#21256,Time to Read Collection - Hardcover,20,0,0,20,0,0,1,21
01/01/2025,19322856110000,#21634,A Smart Girl's Guide to Knowing What to Say,18,0,0,18,0,0,0.9,18.9
01/01/2025,19236345610000,#21127,Mystery Book Bundle: Romance,30,0,0,30,0,0,1.5,31.5
01/01/2025,19313259120000,#21544,The Empty Envelope,13,-1.11,0,11.89,0,0,0.59,12.48
01/01/2025,19259852520000,#21266,Rich Dad's Guide to Becoming Rich Without Cutting Up Your Credit Cards,20,0,0,20,0,0,1,21
01/01/2025,19258712460000,#21256,How to Lead,28,0,0,28,0,0,1.4,29.4
01/01/2025,19323635110000,#21635,Peter Rabbit: A Winter's Tale (Hardcover),15,0,0,15,0,0,0.75,15.75
01/01/2025,19272822000000,#21354,The Hidden Years,15,0,0,15,0,0,0.75,15.75
01/01/2025,19256847570000,#21248,The Litigators,18,0,0,18,0,0,0.9,18.9
01/01/2025,19247665550000,#21202,Chimpanzees for Tea!,18,0,0,18,0,0,0.9,18.9
01/01/2025,19256818830000,#21247,The Gruffalo,18,0,0,18,0,0,0.9,18.9
01/01/2025,19258710620000,#21256,Tales from Shakespeare - Tragedies,18,0,0,18,0,0,0.9,18.9
01/01/2025,19255919310000,#21233,B & V Friends Comics Annual No 94,10,0,0,10,0,0,0.5,10.5
01/01/2025,19258712750000,#21256,We Were Liars,20,0,0,20,0,0,1,21
01/01/2025,19238583990000,#21149,The Help,18,0,0,18,0,0,0.9,18.9
01/01/2025,19236541630000,#21131,A Series of Unfortunate Events: The Bad Beginning,20,0,0,20,0,0,1,21
01/01/2025,19284847690000,#21386,The Maidens,0,0,-23,-23,0,0,-1.15,-24.15
01/01/2025,19261691490000,#21273,Little Women,20,0,0,20,0,0,1,21
01/01/2025,19299527850000,#21469,Percy Jackson and the Lightning Thief,23,0,0,23,0,0,1.15,24.15
01/01/2025,19238941130000,#21153,Myths & Legends,13,0,0,13,0,0,0.65,13.65
01/01/2025,19236542380000,#21131,Operation Gadgetman!,0,0,-13,-13,0,0,-0.65,-13.65
01/01/2025,19319163520000,#21596,"Ancient Egypt: Gods, Pharaohs and Cats!",15,0,0,15,0,0,0.75,15.75
01/01/2025,19236391750000,#21129,The Goldfinch,28,0,0,28,0,0,1.4,29.4
01/01/2025,19317357150000,#21588,BB's BOT SHOP,17.99,-1.04,0,16.95,0,0,0.85,17.8
01/01/2025,19238116980000,#21141,The Mark of Athena,19.99,-0.87,0,19.12,0,0,0.96,20.08
01/01/2025,19276198180000,#21376,Twisted #4 :Twisted Lies,37,-2.39,0,34.61,0,0,1.73,36.34
01/01/2025,19316521370000,#21577,"Gangsta.: Cursed., Vol. 2",18,0,0,18,0,0,0.9,18.9
01/01/2025,19322493010000,#21629,Tip,0,0,0,0,0,0,0,0
01/01/2025,19236541600000,#21131,Tom Gates 16. MegaMake and Do Stories Too !,20,0,0,20,0,0,1,21
01/01/2025,19256999250000,#21249,The French Gardener,23,0,0,23,0,0,1.15,24.15
01/01/2025,19265607660000,#21309,Super Good Skills (Almost...) (Tom Gates),20,0,0,20,0,0,1,21
01/01/2025,19267089040000,#21317,The Return of the King,15,0,0,15,0,0,0.75,15.75
