Product title,Product vendor,Product type,Net items sold,Gross sales,Discounts,Returns,Net sales,Taxes,Total sales
Girl Online,Zoella; Zoe Sugg;,Book,1,6,0,0,6,0.3,6.3
The Big Book of the Blue,Yuval Zommer;,Book,1,22,0,0,22,1.1,23.1
21 Lessons for the 21st Century,Yuval Noah Harari;,Book,1,30,0,0,30,1.5,31.5
Sapiens: A Brief History of Humankind,Yuval Noah Harari;,Book,2,56,0,0,56,2.8,58.8
Homo Deus: A Brief History of Tomorrow,Yuval Noah Harari,Book,1,27.99,-1.06,0,26.93,1.35,28.28
Sapiens,Yuval Noah Harari,Book,1,28,0,0,28,1.4,29.4
"One-Punch Man, Vol. 24",Yusuke Murata,Book,1,32,0,0,32,1.6,33.6
Assassination Classroom #1,Yusei Matsui,Book,1,23,0,0,23,1.15,24.15
The Last Silk Thread,Yosr Elsherbiny;,Book,1,54,0,0,54,2.7,56.7
My First Book About Islam,Yahiya Emerick;,Book,1,20,0,0,20,1,21
Transcendent Kingdom,Yaa Gyasi;,Book,1,30,0,0,30,1.5,31.5
World's Greatest Leaders: Biographies of Inspirational Personalities For Kids,Wonder House Books;,Book,-1,0,0,-15,-15,-0.75,-15.75
Almond,Won-Pyung Sohn;,Book,1,15,0,0,15,0.75,15.75
Art Review Asia,Wolfgang Tillmans,Book,1,15,0,0,15,0.75,15.75
The Worst Thing About My Sister,"Wilson, Jacqueline; ;",Book,1,14.99,-1.44,0,13.55,0.68,14.23
Best Friends,"Wilson, Jacqueline",Book,1,13,0,0,13,0.65,13.65
Romeo and Juliet,William Shakespeare; William Shakespeare;,Book,0,20,0,-20,0,0,0
Hamlet,William Shakespeare;,Book,1,18,0,0,18,0.9,18.9
The Winter's Tale,William Shakespeare;,Book,1,19,0,0,19,0.95,19.95
Lord of the Flies,William Golding,Book,1,25,0,0,25,1.25,26.25
In Xanadu,William Dalrymple,Book,1,13,0,0,13,0.65,13.65
The Woman in White,Wilkie Collins;,Book,1,23,0,0,23,1.15,24.15
Word Search for Smart Kids,Wilco Publishing House,Book,1,10,0,0,10,0.5,10.5
The Black Stallion,Walter Farley,Book,0,13,0,-13,0,0,0
World of Reading Marvel Boxed Set (Level 1),Walt Disney Company;,Book,1,20,0,0,20,1,21
The Man Who Didn't Call,"Walsh, Rosie",Book,1,38,0,0,38,1.9,39.9
The Waves,Virginia Woolf;,Book,1,20,0,0,20,1,21
The Waves,Virginia Woolf,Book,1,18,0,0,18,0.9,18.9
Ready for Action! - Hardcover,Victoria Taylor,Book,-1,0,0,-15,-15,-0.75,-15.75
Kraft der Elemente,verschiedene;,Book,1,20,0,0,20,1,21
Insurgent  - Hardcover,Veronica Roth,Book,0,5,0,-5,0,0,0
Seafood,Various;,Book,1,10,0,0,10,0.5,10.5
The Mumsnet Book of Animal Stories,Various;,Book,1,20,0,0,20,1,21
Famous Moral Stories,Vandana Verma;,Book,1,10,0,0,10,0.5,10.5
Alexander,Valerio Manfredi;,Book,1,12.99,-0.49,0,12.5,0.63,13.13
Say You're One of Them,Uwem Akpan;,Book,0,28,0,-28,0,0,0
The Jungle,Upton Sinclair;,Book,1,27.99,-1.05,0,26.94,1.35,28.29
The Poison Jungle,Tui T. Sutherland;,Book,1,13,0,0,13,0.65,13.65
The Hidden Kingdom: Wings of Fire,Tui Sutherland;,Book,1,29,0,0,29,1.45,30.45
The Lost Continent,Tui Sutherland;,Book,1,29,0,0,29,1.45,30.45
"Death Note, Vol. 6",Tsugumi Ohba; Tsugumi Ohba; Tsugumi Ōba; Tsugumi Ohba; Tsugumi Ohba; Tsugumi Ohba; Tsugumi Ohba; Tsugumi Ohba; Tsugumi Ohba; Tsugumi Ohba;,Book,1,25,0,0,25,1.25,26.25
Death Note:Vol 8,Tsugumi Ohba; Tsugumi Ohba; Tsugumi Ōba; Tsugumi Ohba; Tsugumi Ohba; Tsugumi Ohba; Tsugumi Ohba; Tsugumi Ohba; Tsugumi Ohba; Tsugumi Ōba;,Book,1,25,0,0,25,1.25,26.25
"Death Note, Vol. 9",Tsugumi Ohba; Taskeshi Obata; Tsugumi Ohba;,Book,1,25,0,0,25,1.25,26.25
"Death Note, Vol. 7",Tsugumi Ohba; Takeshi Obata;,Book,1,25,0,0,25,1.25,26.25
In Cold Blood : A True Account of a Multiple Murder and its Consequences,Truman Capote,Book,1,20,0,0,20,1,21
The Mysterious Benedict Society,Trenton Lee Stewart;,Book,1,25,0,0,25,1.25,26.25
