Product title,Product vendor,Product type,Net items sold,Gross sales,Discounts,Returns,Net sales,Taxes,Total sales
Atomic Habits (Hardcover),James Clear,Book,76,2799.97,-45.81,-140,2614.16,130.7,2744.86
Ikigai- Hardcover,Héctor García,Book,65,2241.94,-25.09,-99,2117.85,105.89,2223.74
Mystery Book Bundle - Thriller Pack of 6,Bookends,Book,30,2170,-28.73,-70,2071.27,103.54,2174.81
Mystery Book Bundle - Romance Pack of 6,Bookends,Book,25,1959.99,-8.37,-210,1741.62,87.08,1828.7
Mystery Book Bundle - Thriller,Bookends,Book,14,1539.99,-22.45,0,1517.54,75.87,1593.41
Summer Book Bundle: Thriller,Bookends,Book,48,1274.99,-15.54,-50,1209.45,60.45,1269.9
The Help,Kathryn Stockett,Book,13,1001,-0.71,0,1000.29,50.01,1050.3
Mystery Book Bundle - Young Adult Pack of 6,Bookends,Book,14,1119.99,-8.02,-140,971.97,48.6,1020.57
Summer Book Bundle: Romance,Bookends,Book,37,939.98,-24.5,0,915.48,45.75,961.23
Ooread,Grace Karim,Book,26,945,0,-35,910,45.5,955.5
The Hungry Hoopoe,Simone Lok,Book,25,971.75,-36.75,-105,830,41.5,871.5
The Twelve Principles of a modern Day Gladiator- Hardcover,Dariush Soudi,Book,16,800,0,0,800,40,840
Summer Book Bundle: Young Adult,Bookends,Book,30,789.97,-8.37,-25,756.6,37.83,794.43
Enlighten,Sonya Bhalla,Book,9,830,0,-83,747,37.35,784.35
12 Books for AED 120,Bookends,Book,6,959.99,-21.37,-230.48,708.14,35.41,743.55
Harry Potter (Set of 7 books),J. K. Rowling;,Book,5,705,0,0,705,35.25,740.25
Festive GIft Box- Thriller,Bookends,Book,10,699.99,-8.37,0,691.62,34.58,726.2
Batman Eternal Vol. 3 (The New 52),Scott Snyder; James Tynion;,Book,1,690,0,0,690,34.5,724.5
Beautiful Gift Wrap,Online Book Store – Bookends,Gift Wrap,80,716.07,-2.37,-36.18,677.52,33.96,711.48
At First Spite: A Harlot's Bay Novel,Olivia Dade;,Book,1,675,0,0,675,33.75,708.75
The Twelve Principles of a modern Day Gladiator,Dariush Soudi,Book,13,649.99,-4.64,0,645.35,32.27,677.62
Handmade Leather Notebook ( Designs A),Online Book Store – Bookends,Accessories,16,640,0,0,640,32,672
Van Gogh Metal Bookmark (Design 2),Online Book Store – Bookends,Accessories,42,629.99,-2.83,0,627.16,31.36,658.52
Discovering Joys Of Childhood Through Play,Rahela Rajh,Book,5,609,0,0,609,30.45,639.45
"The Lord of the Rings Boxed Set: Contains Tvtie-In Editions Of: Fellowship of the Ring, the Two Towers, and the Return of the King",J. R. R. Tolkien;,Book,6,595,0,0,595,29.75,624.75
The Red Island,Adil Alzarooni;,Book,17,595,0,0,595,29.75,624.75
October Book Bundle - Thriller,Bookends,Book,8,559.98,-6.01,0,553.97,27.71,581.68
Festive GIft Box- Mystery,Bookends,Book,8,559.99,-8.37,0,551.62,27.58,579.2
Children Ramadan Journal,Sana Anwar,Book,24,551.98,-2.88,0,549.1,27.46,576.56
Mystery Book Bundle - Romance,Bookends,Book,5,550,-9.52,0,540.48,27.02,567.5
Diary of a Wimpy Kid: Hot Mess- (Hardcover),Jeff Kinney;,Book,14,539.99,-3.8,0,536.19,26.81,563
Understanding ADHD: A Short Guide for Loved Ones,Ali Khawaja;,Book,18,503.99,-1.44,0,502.55,25.13,527.68
Dua Booklet - For Every Muslim,Ali Khawaja;,Book,28,503.98,-1.94,0,502.04,25.11,527.15
It Ends with Us,Colleen Hoover;,Book,22,501,-0.93,0,500.07,25,525.07
Ooread I Want to Read! Workbook,Grace Karim,Book,10,500,0,0,500,25,525
Handmade Hardcover Notebook,Online Book Store – Bookends,Accessories,9,495,0,0,495,24.75,519.75
Festive GIft Box- Romance,Bookends,Book,7,490,0,0,490,24.5,514.5
October Book Bundle - Mystery,Bookends,Book,7,489.99,-6.01,0,483.98,24.2,508.18
Handmade Leather Notebook ( Designs B),Online Book Store – Bookends,Accessories,12,480,0,0,480,24,504
The Housemaid,Freida McFadden;,Book,14,450.99,-2.29,0,448.7,22.44,471.14
A Court of Thorns and Roses Paperback Box Set,Sarah J. Maas;,Book,2,440,0,0,440,22,462
Rich Dad Poor Dad,Robert T. Kiyosaki;,Book,18,439.79,-1.86,0,437.93,21.9,459.83
October Book Bundle - Horror,Bookends,Book,6,420,-1.56,0,418.44,20.92,439.36
مجموع الفتاوى - (Hardcover),ابن تيمية,Book,1,400,0,0,400,20,420
Verity,Colleen Hoover,Book,16,400.99,-2.49,0,398.5,19.93,418.43
سرد روح,بيان أحمد عبيدات,Book,14,392,0,0,392,19.6,411.6
The Subtle Art of Not Giving a F*ck,Mark Manson;,Book,15,398.98,-12.38,0,386.6,19.33,405.93
The Power of Now,Eckhart Tolle,Book,14,387.99,-4.58,0,383.41,19.17,402.58
Bluey Let's Do This! Box of Books 10 Books Collection Box Set,Bluey,Book,2,380,0,0,380,19,399
Gratitude Journal,Online Book Store – Bookends,Accessories,10,380,0,0,380,19,399
Handmade Leather Notebook ( Designs C),Online Book Store – Bookends,Accessories,7,385,-5.45,0,379.55,18.97,398.52
Twisted #1 : Twisted Love,Ana Huang;,Book,11,371,-0.91,0,370.09,18.5,388.59
The Silent Patient,Alex Michaelides,Book,14,362,-2.01,0,359.99,17.99,377.98
Demon Dentist,David Walliams,Book,15,360,-6.37,0,353.63,17.67,371.3
Diary of a Wimpy Kid: No Brainer - Hardcover,Jeff Kinney;,Book,14,352,-1.8,0,350.2,17.5,367.7
Chainsaw Man Box Set,Tatsuki Fujimoto;,Book,1,350,0,0,350,17.5,367.5
The 48 Laws of Power,Robert Greene,Book,11,354,-5.71,0,348.29,17.41,365.7
Days at the Morisaki Bookshop,Satoshi Yagisawa;,Book,9,346.99,-4.21,0,342.78,17.14,359.92
The Alchemist,Paulo Coelho,Book,18,350.97,-10.11,0,340.86,17.05,357.91
Ugly Love,Colleen Hoover;,Book,14,343,-2.52,0,340.48,17.02,357.5
My Mandala Coloring Book,Socialprise,Book,17,340,0,0,340,17,357
Special Edition Harry Potter Paperback Box Set,J. K. Rowling;,Book,2,338,0,0,338,16.9,354.9
Harry Potter and the Chamber of Secrets,J. K. Rowling,Book,15,332,-1.73,0,330.27,16.51,346.78
If Elephants Could Talk: A Novel in Verse,Ranjeeta Raam,Book,11,330,0,0,330,16.5,346.5
Throne of Glass - Box Set,Sarah J. Maas;,Book,1,325,0,0,325,16.25,341.25
Mystery Book Bundle - Young Adult,Bookends,Book,3,330,-9.52,0,320.48,16.02,336.5
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,Book,15,319.99,-1.51,0,318.48,15.93,334.41
A to Z Motivational Affirmations,Sonya Bhalla;,Book,5,315,0,0,315,15.75,330.75
Diary of a Wimpy Kid,Jeff Kinney,Book,18,303.99,-0.21,0,303.78,15.19,318.97
الفقه الاسلامي وادلته (Hardcover),وهبة الزحيلي,Book,1,300,0,0,300,15,315
Shadow and Bone (Hardcover),Leigh Bardugo,Book,2,300,0,0,300,15,315
Ruin and Rising (Hardcover),Leigh Bardugo;,Book,2,300,0,0,300,15,315
Spark the Sparkly Dragon,Dina O. Nasr,Book,10,300,0,0,300,15,315
Siege and Storm (Hardcover),Leigh Bardugo;,Book,2,300,0,0,300,15,315
Of Fire & Fae: A Complete Series- Hardcover,Day Leitao,Book,2,300,0,0,300,15,315
Wipeable & Reusable Colouring Book,Online Book Store – Bookends,Accessories,20,300,0,0,300,15,315
Harry Potter and the Philosopher's Stone,J. K. Rowling,Book,13,303.98,-4.53,0,299.45,14.97,314.42
Chestnut Springs #4: Reckless,Elsie Silver;,Book,9,302.01,-2.78,0,299.23,14.95,314.18
اعراب القرآن الكريم (Hardcover),محيي الدين الدرويش,Book,1,298.99,-2.35,0,296.64,14.84,311.48
Wonder,R. J. Palacio;,Book,16,297.99,-1.96,0,296.03,14.8,310.83
Gangsta Granny,David Walliams,Book,13,300.98,-5.2,0,295.78,14.79,310.57
Chestnut Springs #2 : Heartless,Elsie Silver;,Book,9,292,-2.38,0,289.62,14.48,304.1
Diary of a Wimpy Kid: No Brainer (Hardcover),Jeff Kinney;,Book,7,323,0,-44,279,13.95,292.95
Charlie and the Chocolate Factory,Roald Dahl,Book,18,280.98,-3.46,0,277.52,13.88,291.4
Ratburger,David Walliams;,Book,13,276.97,-4.05,0,272.92,13.65,286.57
Harry Potter and the Deathly Hallows,J. K. Rowling,Book,11,273,-1.19,0,271.81,13.59,285.4
Love and Other Words,Christina Lauren;,Book,8,274,-2.39,0,271.61,13.58,285.19
The Silent Patient,Alex Michaelides;,Book,10,264,-1.24,0,262.76,13.13,275.89
Customizable Wooden Bookmark,Online Book Store – Bookends,Accessories,26,320,0,-60,260,13,273
The Housemaid's Secret,Freida McFadden;,Book,7,258,0,0,258,12.9,270.9
Chestnut Springs #5: Hopeless,Elsie Silver;,Book,7,254,0,0,254,12.7,266.7
Diary of a Wimpy Kid: The Third Wheel,Jeff Kinney,Book,12,254.2,-0.5,0,253.7,12.68,266.38
Fourth Wing,Rebecca Yarros;,Book,8,253.4,0,0,253.4,12.67,266.07
Billionaire Boy,David Walliams,Book,12,255.99,-4.61,0,251.38,12.56,263.94
The Eco-heroes Recycling Trip Trouble,Colette Barr & Leona Collins,Book,13,260,-9.52,0,250.48,12.52,263
Diary of a Wimpy Kid: The Meltdown - Hardcover,Jeff Kinney,Book,10,245,0,0,245,12.25,257.25
The Bad Guys Box Set: Books 1-5,Aaron Blabey;,Book,3,242,0,0,242,12.1,254.1
Before the Coffee Gets Cold,Toshikazu Kawaguchi;,Book,9,243,-1.99,0,241.01,12.05,253.06
Days at the Morisaki Bookshop #1,Satoshi Yagisawa;,Book,6,241,0,0,241,12.05,253.05
The Captain Underpants Color Collection - Set of 3 Books,Dav Pilkey,Book,2,240,0,0,240,12,252
A New Earth,Eckhart Tolle,Book,8,240,-3.1,0,236.9,11.84,248.74
Shatter Me,Tahereh Mafi,Book,10,238,-1.14,0,236.86,11.84,248.7
Diary of a Wimpy Kid: Double Down - Hardcover,Jeff Kinney,Book,10,234,0,0,234,11.7,245.7
King of Wrath (Book 1),Ana Huang;,Book,6,232.99,-1.87,0,231.12,11.56,242.68
The Secret Seven Collection,Enid Blyton;,Book,3,230,-0.98,0,229.02,11.45,240.47
Things We Never Got Over,Lucy Score,Book,7,228.99,-1.4,0,227.59,11.38,238.97
Open When You... Letter,Online Book Store – Bookends,Accessories,9,225,0,0,225,11.25,236.25
The Miracle of the Energy only energy remains,Mohammad Mehdi Dousti,Book,9,225,-1.32,0,223.68,11.18,234.86
Harry Potter and the Order of the Phoenix,J. K. Rowling,Book,8,229,-5.62,0,223.38,11.16,234.54
The Spanish Love Deception,Elena Armas;,Book,10,224.99,-1.68,0,223.31,11.17,234.48
رشفة سعادة,حنان السماك,Book,8,224,-0.77,0,223.23,11.16,234.39
Affirmation Cards,Online Book Store – Bookends,Accessories,8,224,-1.39,0,222.61,11.13,233.74
The Adventures of Tintin Vol. 8 - Hardcover,Herge; Hergé;,Book,6,228,-5.42,0,222.58,11.12,233.7
Percy Jackson and the Sea of Monsters,Rick Riordan;,Book,12,222.99,-0.44,0,222.55,11.13,233.68
The Adventures of Tintin Vol. 4 - Hardcover,Hergé;,Book,6,225,-2.5,0,222.5,11.12,233.62
Diary of a Wimpy Kid - Rodrick Rules,Jeff Kinney,Book,12,220.99,-0.41,0,220.58,11.03,231.61
Nov-09,Colleen Hoover,Book,9,222.99,-2.51,0,220.48,11.02,231.5
Daisy Crochet Bookmark,Online Book Store – Bookends,Accessories,12,241,-21,0,220,11,231
The Adventures of Tintin Volume 1 (Hardcover),Hergé;,Book,6,218,0,0,218,10.9,228.9
The Guest List,Lucy Foley;,Book,8,218,0,0,218,10.9,228.9
Chestnut Springs #3:Powerless,Elsie Silver;,Book,7,220,-2.78,0,217.22,10.86,228.08
The Famous Five Collection,Enid Blyton;,Book,2,219,-1.92,0,217.08,10.85,227.93
Diary of an Awesome Friendly Kid - Hardcover,Jeff Kinney,Book,9,215,0,0,215,10.75,225.75
Fourth Wing- (Hardcover),Rebecca Yarros;,Book,3,215,0,0,215,10.75,225.75
A Court of Mist and Fury,Sarah J. Maas;,Book,7,217,-2.2,0,214.8,10.74,225.54
Surrounded by Idiots,Thomas Erikson,Book,9,210,0,0,210,10.5,220.5
The 100X Leader - Hardcover,Jeremie Kubicek; Steve Cockram;,Book,7,210,-1.05,0,208.95,10.44,219.39
The 7 Habits of Highly Effective People,Stephen R. Covey,Book,8,205,0,0,205,10.25,215.25
The Girl on the Train,Paula Hawkins,Book,11,220,0,-18,202,10.1,212.1
Terms and Conditions,Lauren Asher,Book,7,202,0,0,202,10.1,212.1
Twisted #3 : Twisted Hate,Ana Huang;,Book,5,201,0,0,201,10.05,211.05
Dog Man: Grime and Punishment - Hardcover,Dav Pilkey;,Book,8,205,-4.89,0,200.11,10,210.11
My First Finance Book & My First Enterpeneurship Book (Hardcover),"Arturo Torres, Juan Saavedra",Book,1,200,0,0,200,10,210
معجم مقاييس اللغة (Hardcover),عبد السلام محمد هارون,Book,1,199.99,-1.57,0,198.42,9.93,208.35
Before the Coffee Gets Cold: Tales from the Cafe,Toshikazu Kawaguchi;,Book,5,205,-6.66,0,198.34,9.91,208.25
The Adventures of Tintin Volume 2 (Hardcover),Herge; Hergé;,Book,5,200,-2.57,0,197.43,9.87,207.3
The Adventures of Tintin Volume 3 (Hardcover),Hergé;,Book,5,200,-2.58,0,197.42,9.87,207.29
The Adventures of Tintin Volume 5 (Hardcover),Hergé;,Book,5,200,-2.59,0,197.41,9.87,207.28
The Adventures of Tintin Volume 6 (Hardcover),Herge; Hergé;,Book,5,200,-2.59,0,197.41,9.87,207.28
It Starts with Us,Colleen Hoover,Book,8,198.99,-2.97,0,196.02,9.8,205.82
Diary of a Wimpy Kid: Old School - Hardcover,Jeff Kinney,Book,9,196,0,0,196,9.8,205.8
King of Pride (Book 2),Ana Huang;,Book,5,192,0,0,192,9.6,201.6
Pete the Cat's Super Cool Reading Collection,James Dean;,Book,5,195,-3.23,0,191.77,9.58,201.35
Twisted Hate - Twisted #3,Ana Huang;,Book,8,219.24,-28.05,0,191.19,9.56,200.75
Living Language : SPANISH,Enrique Montes,Book,1,200,-9.52,0,190.48,9.52,200
The Wit of Oscar Wilde - Hardcover,Oscar Wilde,Book,1,190,0,0,190,9.5,199.5
The Midnight Library,Haig Matt;,Book,7,190,0,0,190,9.5,199.5
The Laws of Human Nature,Robert Greene;,Book,4,194.99,-5.55,0,189.44,9.47,198.91
"Thinking, Fast and Slow",Daniel Kahneman,Book,5,188.8,0,0,188.8,9.44,198.24
Percy Jackson and the Titan's Curse,Rick Riordan,Book,9,188,0,0,188,9.4,197.4
The Maid,Nita Prose;,Book,7,187,0,0,187,9.35,196.35
Diary of a Wimpy Kid: Cabin Fever,Jeff Kinney,Book,10,191,-4.76,0,186.24,9.31,195.55
The Power of Habit: Why We Do What We Do and How to Change,Charles Duhigg,Book,6,187.99,-2.28,0,185.71,9.29,195
The Inheritance Games,Jennifer Lynn Barnes;,Book,7,204.6,0,-20,184.6,9.23,193.83
The Wild Robot Series Boxset,Peter Brown;,Book,2,184,0,0,184,9.2,193.2
The World's Worst Children 2,David Walliams;,Book,7,189.99,-7.92,0,182.07,9.1,191.17
Cat Kid Comic Club- Hardcover,"Pilkey, Dav;",Book,6,182,0,0,182,9.1,191.1
"Mr. Men My Complete Collection, 48 book Boxset",Roger Hargreaves,Book,1,180,0,0,180,9,189
David Walliams Worlds Worst Children,David Walliams,Book,7,182,-2.3,0,179.7,8.98,188.68
The Lost Hero,Rick Riordan,Book,8,180.99,-1.62,0,179.37,8.97,188.34
Key Words Collection x36 - Hardcover,Ladybird,Book,1,179,0,0,179,8.95,187.95
The Hunger Games,Suzanne Collins,Book,9,179.99,-1.26,0,178.73,8.94,187.67
Divergent,Veronica Roth,Book,9,180,-1.57,0,178.43,8.92,187.35
The Ice Monster,David Walliams;,Book,7,179,-2.13,0,176.87,8.84,185.71
People We Meet on Vacation,Emily Henry,Book,7,178,-1.31,0,176.69,8.83,185.52
Dog Man and Cat Kid - Hardcover,Dav Pilkey,Book,7,179.99,-3.39,0,176.6,8.83,185.43
Harry Potter and the Deathly Hallows - Hardcover,J. K. Rowling,Book,3,180,-4.54,0,175.46,8.77,184.23
Amulet: The Stonekeeper (Book 1),Kazu Kibuishi,Book,6,176.6,-1.31,0,175.29,8.76,184.05
A Court of Thorns and Roses,Sarah J. Maas,Book,5,175,0,0,175,8.75,183.75
The Hating Game,Sally Thorne,Book,8,228.25,-26.25,-28,174,8.7,182.7
Happy Place,Emily Henry;,Book,7,199.99,-1.25,-25,173.74,8.69,182.43
The Gathering Storm - Hardcover,Robert Jordan,Book,2,173,0,0,173,8.65,181.65
The Untethered Soul: The Journey Beyond Yourself,Michael A. Singer;,Book,6,172,0,0,172,8.6,180.6
Bad Guys Even Badder Box Set: Books 6-10,Aaron Blabey;,Book,2,172,0,0,172,8.6,180.6
The Fault in Our Stars,John Green,Book,8,172,-1.3,0,170.7,8.53,179.23
Who Moved My Cheese?,Spencer Johnson;,Book,9,196.99,-8.83,-20,168.16,8.4,176.56
The Lightning Thief (Percy Jackson and the Olympians #1),Rick Riordan,Book,8,170.99,-2.86,0,168.13,8.4,176.53
Little Women,Louisa May Alcott;,Book,8,168,0,0,168,8.4,176.4
The Thursday Murder Club,Richard Osman;,Book,7,168,0,0,168,8.4,176.4
Vow of Thieves- Hardcover,Mary E. Pearson;,Book,2,169.99,-2.18,0,167.81,8.39,176.2
Harry Potter and the Cursed Child - Hardcover,J. K. Rowling; John Tiffany and Jack Thorne;,Book,6,167,0,0,167,8.35,175.35
The Hawthorne Legacy,Jennifer Lynn Barnes;,Book,6,166.6,0,0,166.6,8.33,174.93
The World's Worst Teachers,David Walliams;,Book,6,167.99,-1.78,0,166.21,8.31,174.52
Grandpa's Great Escape,David Walliams,Book,7,169,-2.95,0,166.05,8.3,174.35
The Girl with the Dragon Tattoo,Stieg Larsson,Book,10,166,0,0,166,8.3,174.3
The Adventures of TinTin Vol 7 Compact Edition - Hardcover,Herge; Hergé; Hergé;,Book,5,169.97,-4.89,0,165.08,8.26,173.34
Set of 4 Magnetic Bookmarks,Online Book Store – Bookends,Accessories,12,180.75,-15.75,0,165,8.25,173.25
حكايتي مع ماما منى,منى كاظم,Book,6,165.01,-0.51,0,164.5,8.21,172.71
Zero To One,Peter Thiel and Blake Masters;,Book,5,164,0,0,164,8.2,172.2
